"Customer Login History","Customer Login History"
"Login History","Login History"
"Check items to delete or","Check items to delete or"
"select all","select all"
"unselect all","unselect all"
"Delete Selected","Delete Selected"
"Delete All Records","Delete All Records"
"Customer Logins","Customer Logins"
"Country","Country"
"City","City"
"Date/Time","Date/Time"
"Agent","Agent"
"No records","No records"
"Delete login history","Delete login history"
"Do you want to delete all records?","Do you want to delete all records?"
"Sort By","Sort By"
"Login Information","Login Information"
"Last Login","Last Login"
