"Customer Login History","Historial de Accesos"
"Login History","Historial de Accesos"
"Check items to delete or","Marcar items a eliminar o"
"select all","seleccionar todos"
"unselect all","deseleccionar todos"
"Delete Selected","Eliminar seleccionados"
"Delete All Records","Eliminar todos los registros"
"Customer Logins","Ingresos"
"Country","Pais"
"City","Ciudad"
"Date/Time","Dia y Hora"
"Agent","Navegador"
"No records","No hay registros"
"Delete login history","Borrar historial"
"Do you want to delete all records?","Quiere borrar todo el historial de ingresos?"
"Sort By","Ordenar por"
"Login Information","Informacion de ingresos"
"Last Login","Ultimo ingreso"
